,InBallPos,Shirt,Speed,Ts,dist to closest home,dist to closest visitor,zone,inZone,opponentsHalf,distanceToOpponentGoal,distanceToOwnGoal,angleOpponentToPassline,distanceToInPossession,distanceToOpponentRating,angleToPasslineRating,distanceToPossessionRating,distanceToOpponentGoalRating,curPositioningRating,PlayerID,positioningRating
957,0.0,4.0,3.53,4.1,11.686,10.571,0.0,0,0,64.52498372723545,41.55025300765327,,,,,,,,,
958,0.0,2.0,3.91,4.1,9.971,11.507,0.0,0,0,49.82628704810343,59.61257317881858,,,,,,,,,
959,0.0,3.0,5.86,4.1,5.7170000000000005,12.81,0.0,0,0,46.15221313219985,78.21851939918065,,,,,,,,,
960,0.0,11.0,5.83,4.1,1.741,5.697,0.0,0,0,45.74150204136283,63.230016677207985,,,,,,,,,
961,0.0,8.0,5.32,4.1,10.132,9.618,0.0,0,0,48.257990861617934,57.39881254869303,,,,,,,,,
962,0.0,7.0,4.22,4.1,4.324,9.974,0.0,0,0,46.187016108425965,59.11218535124547,,,,,,,,,
963,0.0,9.0,6.08,4.1,5.395,8.539,0.0,0,0,38.64343165403404,73.77807811267517,,,,,,,,,
964,0.0,10.0,4.32,4.1,4.525,5.697,0.0,0,0,40.12177276741396,67.67722401221847,,,,,,,,,
965,0.0,1.0,,4.2,5.591,4.65,0.0,0,0,,,,,,,,,,,
966,0.0,0.0,1.12,4.2,22.554,31.125,0.0,0,0,98.40676107361729,7.081004519134273,,,,,,,,,
967,0.0,0.0,3.76,4.2,13.312,9.984,0.0,0,0,68.80283739061929,39.51405361387262,,,,,,,,,
968,0.0,0.0,4.2,4.2,9.761,15.169,0.0,0,0,74.56644597270275,30.479909202620664,,,,,,,,,
969,0.0,0.0,4.2,4.2,8.84,5.325,0.0,0,0,79.36154682212288,33.288212838781234,,,,,,,,,
970,0.0,0.0,3.6,4.2,8.158,5.433,0.0,0,0,81.74937996706764,40.29182454295164,,,,,,,,,
971,0.0,0.0,4.25,4.2,9.761,6.396,0.0,0,0,67.79113442036504,37.81385864997117,,,,,,,,,
